name,value
theta_29.0s34,-9979.643835616434
g_29.0s15,0.0
w_29.0s15,24.0
theta_29.0s15,-9595.114285714295
g_29.0s48,0.0
w_29.0s48,24.0
theta_29.0s48,-9903.714285714283
g_29.0s8,0.0
w_29.0s8,24.000000000000227
theta_29.0s8,-9967.0
g_29.0s18,0.0
w_29.0s18,24.0
theta_29.0s18,-9934.0
g_29.0s45,0.0
w_29.0s45,24.0
theta_29.0s45,-9830.114754098362
g_29.0s24,0.0
w_29.0s24,24.0
theta_29.0s24,-9939.666666666666
g_29.0s6,0.0
w_29.0s6,24.0
theta_29.0s6,-9938.346590909092
g_29.0s42,0.0
w_29.0s42,24.0
theta_29.0s42,-9540.594303797468
g_29.0s21,0.0
w_29.0s21,24.000000000000227
theta_29.0s21,-9988.312499999998
g_29.0s30,0.0
w_29.0s30,24.0
theta_29.0s30,-9931.454545454544
g_29.0s11,0.0
w_29.0s11,24.0
theta_29.0s11,-9924.333333333332
g_29.0s22,0.0
w_29.0s22,24.000000000000227
theta_29.0s22,-10000.0
g_29.0s4,0.0
w_29.0s4,24.0
theta_29.0s4,-9918.0
g_29.0s37,0.0
w_29.0s37,24.0
theta_29.0s37,-9576.167213114772
g_29.0s14,0.0
w_29.0s14,24.0
theta_29.0s14,-9944.0
g_29.0s49,0.0
w_29.0s49,24.0
theta_29.0s49,-9930.666666666664
g_29.0s39,0.0
w_29.0s39,24.000000000000227
theta_29.0s39,-9996.999999999998
g_29.0s17,0.0
w_29.0s17,24.0
theta_29.0s17,9948.047619047618
g_29.0s2,0.0
w_29.0s2,24.0
theta_29.0s2,-9976.875000000002
g_29.0s46,0.0
w_29.0s46,7.799999999999727
theta_29.0s46,-10000.0
g_29.0s25,0.0
w_29.0s25,24.0
theta_29.0s25,-9990.856097560973
g_29.0s28,0.0
w_29.0s28,24.0
theta_29.0s28,-9934.0
g_29.0s43,0.0
w_29.0s43,-0.0
theta_29.0s43,-9000.000000000007
g_29.0s26,0.0
w_29.0s26,24.0
theta_29.0s26,-9943.818181818184
g_29.0s9,0.0
w_29.0s9,24.0
theta_29.0s9,-9939.506666666666
g_29.0s0,0.0
w_29.0s0,24.0
theta_29.0s0,-9915.333333333332
g_29.0s33,0.0
w_29.0s33,24.0
theta_29.0s33,-9917.926966292145
g_29.0s10,0.0
w_29.0s10,24.000000000000227
theta_29.0s10,-10000.0
g_29.0s40,0.0
w_29.0s40,13.0
theta_29.0s40,-10000.0
g_29.0s23,0.0
w_29.0s23,24.0
theta_29.0s23,-9932.666666666666
c_29.0,0.0
Z_29.0,0.0
g_14.0s36,0.0
w_14.0s36,14.000000000000227
theta_14.0s36,-9994.000000000002
g_14.0s7,0.0
w_14.0s7,14.000000000000227
theta_14.0s7,-9994.000000000002
g_14.0s13,0.0
w_14.0s13,0.0
theta_14.0s13,-9000.000000000004
g_14.0s38,0.0
w_14.0s38,14.000000000000227
theta_14.0s38,-9994.000000000002
g_14.0s35,0.0
w_14.0s35,14.000000000000227
theta_14.0s35,-9994.000000000002
g_14.0s16,0.0
w_14.0s16,14.000000000000227
theta_14.0s16,-9994.000000000002
g_14.0s47,0.0
w_14.0s47,14.000000000000227
theta_14.0s47,-9994.000000000002
g_14.0s5,0.0
w_14.0s5,14.000000000000227
theta_14.0s5,-9975.000000000007
g_14.0s29,0.0
w_14.0s29,14.000000000000227
theta_14.0s29,-9994.000000000002
g_14.0s19,0.0
w_14.0s19,14.000000000000227
theta_14.0s19,-9994.000000000002
g_14.0s44,0.0
w_14.0s44,14.000000000000227
theta_14.0s44,-9975.000000000007
g_14.0s27,0.0
w_14.0s27,14.000000000000227
theta_14.0s27,-9994.000000000002
g_14.0s32,0.0
w_14.0s32,14.000000000000227
theta_14.0s32,-9975.000000000007
g_14.0s3,0.0
w_14.0s3,14.000000000000227
theta_14.0s3,-9994.000000000002
g_14.0s41,0.0
w_14.0s41,14.000000000000227
theta_14.0s41,-9994.000000000002
g_14.0s20,0.0
w_14.0s20,14.000000000000227
theta_14.0s20,-9994.000000000002
g_14.0s31,0.0
w_14.0s31,14.000000000000227
theta_14.0s31,-9994.000000000002
g_14.0s12,0.0
w_14.0s12,0.0
theta_14.0s12,-9000.000000000004
g_14.0s1,0.0
w_14.0s1,14.000000000000227
theta_14.0s1,-9994.000000000002
g_14.0s34,0.0
w_14.0s34,14.000000000000227
theta_14.0s34,-9994.000000000002
g_14.0s15,0.0
w_14.0s15,14.000000000000227
theta_14.0s15,-9994.000000000002
g_14.0s48,0.0
w_14.0s48,14.000000000000227
theta_14.0s48,-9994.000000000002
g_14.0s8,0.0
w_14.0s8,14.000000000000227
theta_14.0s8,-9994.000000000002
g_14.0s18,0.0
w_14.0s18,14.000000000000227
theta_14.0s18,-9994.000000000002
g_14.0s45,0.0
w_14.0s45,14.000000000000227
theta_14.0s45,-9994.000000000002
g_14.0s24,0.0
w_14.0s24,14.000000000000227
theta_14.0s24,-9994.000000000002
g_14.0s6,0.0
w_14.0s6,14.000000000000227
theta_14.0s6,-9994.000000000002
g_14.0s42,0.0
w_14.0s42,14.000000000000227
theta_14.0s42,-9994.000000000002
g_14.0s21,0.0
w_14.0s21,14.000000000000227
theta_14.0s21,-9994.000000000002
g_14.0s30,0.0
w_14.0s30,14.000000000000227
theta_14.0s30,-9994.000000000002
g_14.0s11,0.0
w_14.0s11,14.000000000000227
theta_14.0s11,-9994.000000000002
g_14.0s22,0.0
w_14.0s22,14.000000000000227
theta_14.0s22,-9994.000000000002
g_14.0s4,0.0
w_14.0s4,0.0
theta_14.0s4,-9000.000000000004
g_14.0s37,0.0
w_14.0s37,14.000000000000227
theta_14.0s37,-9994.000000000002
g_14.0s14,0.0
w_14.0s14,14.000000000000227
theta_14.0s14,-9994.000000000002
g_14.0s49,0.0
w_14.0s49,14.000000000000227
theta_14.0s49,-9994.000000000002
g_14.0s39,0.0
w_14.0s39,14.000000000000227
theta_14.0s39,-9994.000000000002
g_14.0s17,0.0
w_14.0s17,-5.684341886080801e-13
theta_14.0s17,9999.999999999998
g_14.0s2,0.0
w_14.0s2,14.000000000000227
theta_14.0s2,-9994.000000000002
g_14.0s46,0.0
w_14.0s46,14.000000000000227
theta_14.0s46,-9994.000000000002
g_14.0s25,0.0
w_14.0s25,14.000000000000227
theta_14.0s25,-9994.000000000002
g_14.0s28,0.0
w_14.0s28,14.000000000000227
theta_14.0s28,-9994.000000000002
g_14.0s43,0.0
w_14.0s43,14.000000000000227
theta_14.0s43,-9994.000000000002
g_14.0s26,0.0
w_14.0s26,14.000000000000227
theta_14.0s26,-9994.000000000002
g_14.0s9,0.0
w_14.0s9,14.000000000000227
theta_14.0s9,-9994.000000000002
g_14.0s0,0.0
w_14.0s0,14.000000000000227
theta_14.0s0,-9992.1
g_14.0s33,0.0
w_14.0s33,14.000000000000227
theta_14.0s33,-9994.000000000002
g_14.0s10,0.0
w_14.0s10,0.0
theta_14.0s10,-9000.000000000004
g_14.0s40,0.0
w_14.0s40,14.000000000000227
theta_14.0s40,-9994.000000000002
g_14.0s23,0.0
w_14.0s23,14.000000000000227
theta_14.0s23,-9994.000000000002
c_14.0,0.0
Z_14.0,0.0
g_97.0s36,0.0
w_97.0s36,-5.684341886080801e-13
theta_97.0s36,-9999.999999999996
g_97.0s7,0.0
w_97.0s7,15.0
theta_97.0s7,-9613.454545454548
g_97.0s13,0.0
w_97.0s13,1.8189894035458565e-12
theta_97.0s13,-10000.0
g_97.0s38,0.0
w_97.0s38,0.0
theta_97.0s38,-9000.000000000004
g_97.0s35,0.0
w_97.0s35,0.0
theta_97.0s35,-9000.000000000004
g_97.0s16,0.0
w_97.0s16,0.0
theta_97.0s16,-9000.000000000004
g_97.0s47,0.0
w_97.0s47,0.0
theta_97.0s47,-9000.000000000004
g_97.0s5,0.0
w_97.0s5,-5.684341886080801e-13
theta_97.0s5,-9999.999999999996
g_97.0s29,0.0
w_97.0s29,0.0
theta_97.0s29,-9000.000000000004
g_97.0s19,0.0
w_97.0s19,0.0
theta_97.0s19,-9000.000000000004
g_97.0s44,0.0
w_97.0s44,1.8189894035458565e-12
theta_97.0s44,-10000.0
g_97.0s27,0.0
w_97.0s27,1.8189894035458565e-12
theta_97.0s27,-10000.0
g_97.0s32,0.0
w_97.0s32,-5.684341886080801e-13
theta_97.0s32,-9999.999999999996
g_97.0s3,0.0
w_97.0s3,-5.684341886080801e-13
theta_97.0s3,-9999.999999999998
g_97.0s41,0.0
w_97.0s41,2.7284841053187847e-12
theta_97.0s41,-10000.0
g_97.0s20,0.0
w_97.0s20,0.0
theta_97.0s20,-9000.000000000004
g_97.0s31,0.0
w_97.0s31,-5.684341886080801e-13
theta_97.0s31,-9999.999999999996
g_97.0s12,0.0
w_97.0s12,-5.684341886080801e-13
theta_97.0s12,-9999.999999999996
g_97.0s1,0.0
w_97.0s1,-5.684341886080801e-13
theta_97.0s1,-9999.999999999996
g_97.0s34,0.0
w_97.0s34,-5.684341886080801e-13
theta_97.0s34,-9999.999999999996
g_97.0s15,0.0
w_97.0s15,0.0
theta_97.0s15,-9000.000000000004
g_97.0s48,0.0
w_97.0s48,2.7284841053187847e-12
theta_97.0s48,-10000.0
g_97.0s8,0.0
w_97.0s8,2.7284841053187847e-12
theta_97.0s8,-10000.0
g_97.0s18,0.0
w_97.0s18,0.0
theta_97.0s18,-9000.000000000004
g_97.0s45,0.0
w_97.0s45,0.0
theta_97.0s45,-9000.000000000004
g_97.0s24,0.0
w_97.0s24,0.0
theta_97.0s24,-9000.000000000004
g_97.0s6,0.0
w_97.0s6,0.0
theta_97.0s6,-9000.000000000004
g_97.0s42,0.0
w_97.0s42,0.0
theta_97.0s42,-9000.000000000004
g_97.0s21,0.0
w_97.0s21,0.0
theta_97.0s21,-9000.000000000004
g_97.0s30,0.0
w_97.0s30,15.0
theta_97.0s30,-9929.999999999996
g_97.0s11,0.0
w_97.0s11,0.0
theta_97.0s11,-9000.000000000004
g_97.0s22,0.0
w_97.0s22,-5.684341886080801e-13
